id,full_name,email,password_hash,role,account_status,created_at,updated_at,profile_image_url,program_id
1,Sam Fisher,student@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,1
2,Dr. Liat Levi,lecturer@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,
3,Alex Adam,admin@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,admin,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,
4,Noa Cohen,noa.student@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,1
5,Daniel Mizrahi,daniel.student@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,1
6,Maya Levi,maya.student@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,1
7,Dr. Amir Barak,amir.lecturer@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T15:23:50.304Z""","""2026-05-18T15:23:50.304Z""",,
10,Sivan Sanvetu,sivan.student@eps.com,$2b$10$tiI0aB1JUFDYXTQowuoMluLErMYeou9qZEyZmyV9XQYicqVWMNAAG,student,active,"""2026-05-18T18:42:47.179Z""","""2026-05-18T18:43:08.693Z""",,1
11,Dr. Dana Cohen,dana.civil@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,
12,Tal Ben-Ami,tal.civil@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,2
13,Dr. Ron Shalev,ron.mechanical@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,
14,Ori Mechanical,ori.mechanical@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,3
15,Dr. Yael Katz,yael.chemical@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,
16,Rina Chemical,rina.chemical@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,4
17,Dr. Eyal Mor,eyal.iem@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,
18,Lior IEM,lior.iem@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,5
19,Dr. Gal Naveh,gal.electrical@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,
20,Eden Electrical,eden.electrical@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,6
21,Tamar Computer Science,tamar.cs@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-18T18:30:00.000Z""","""2026-05-18T18:30:00.000Z""",,7
