id,full_name,email,password_hash,role,account_status,created_at,updated_at,profile_image_url,program_id,current_study_year,current_semester,must_change_password
1,Shai Fisher,shai.fisher@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,1.0,First,A,False
2,Dr. Liat Levi,liat.levi@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,,,,False
3,Alex Adam,admin@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,admin,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,,,,False
4,Noa Cohen,noa.cohen@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,1.0,First,B,False
5,Daniel Mizrahi,daniel.mizrahi@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,1.0,Second,A,False
6,Maya Levi,maya.levi@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,1.0,Second,B,False
7,Dr. Amir Barak,amir.barak@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,,,,True
10,Sivan Sanvetu,sivan.sanvetu@ac.sce.ac.il,$2b$10$tiI0aB1JUFDYXTQowuoMluLErMYeou9qZEyZmyV9XQYicqVWMNAAG,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,1.0,Third,A,False
11,Dr. Dana Cohen,dana.cohen@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,,,,True
12,Tal Ben-Ami,tal.benami@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,2.0,First,A,False
13,Dr. Ron Shalev,ron.shalev@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,,,,True
14,Ori Ben David,ori.bendavid@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,3.0,First,A,False
15,Dr. Yael Katz,yael.katz@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,,,,True
16,Rina Avraham,rina.avraham@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,4.0,First,A,False
17,Dr. Eyal Mor,eyal.mor@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,,,,True
18,Lior Peretz,lior.peretz@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,5.0,First,A,False
19,Dr. Gal Naveh,gal.naveh@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,,,,True
20,Eden Shalom,eden.shalom@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-19T12:13:26.096Z""","""2026-05-19T12:13:26.096Z""",,6.0,First,A,False
