id,full_name,email,password_hash,role,account_status,created_at,updated_at,profile_image_url,program_id,current_study_year,current_semester,must_change_password
1,Shai Fisher,shai.fisher@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,1,First,A,false
2,Dr. Liat Levi,liat.levi@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,,,,false
3,Alex Adam,admin@eps.com,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,admin,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,,,,false
4,Noa Cohen,noa.cohen@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,1,First,B,false
5,Daniel Mizrahi,daniel.mizrahi@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,1,Second,A,false
6,Maya Levi,maya.levi@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,1,Second,B,false
7,Dr. Amir Barak,amir.barak@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,,,,true
10,Sivan Sanvetu,sivan.sanvetu@ac.sce.ac.il,$2b$10$tiI0aB1JUFDYXTQowuoMluLErMYeou9qZEyZmyV9XQYicqVWMNAAG,student,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,1,Third,A,false
11,Dr. Dana Cohen,dana.cohen@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,,,,true
12,Tal Ben-Ami,tal.benami@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,2,First,A,false
13,Dr. Ron Shalev,ron.shalev@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,,,,true
14,Ori Ben David,ori.bendavid@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,3,First,A,false
15,Dr. Yael Katz,yael.katz@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,,,,true
16,Rina Avraham,rina.avraham@ac.sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,student,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,4,First,A,false
17,Dr. Eyal Mor,eyal.mor@sce.ac.il,$2b$10$1EbZYKGJ50RJqXaDIhXSHeeU.avGvRXajL/a0YFOl8.bYMBMtgLSC,lecturer,active,"""2026-05-24T21:17:43.738Z""","""2026-05-24T21:17:43.738Z""",,,,,true
